place	date	r_est	pis	smooth_pis	nseq	period
India	2020-06-25	1.2438581144803045	0.4184529040726746	0.4099198977258806	91	Mar 27 - Jul 24, 2020
India	2020-06-26	1.2492228873290308	0.4202576957543832	0.4100654036599385	92	Mar 27 - Jul 24, 2020
India	2020-06-27	1.3046770716853322	0.4389133319694278	0.4102641605243104	93	Mar 27 - Jul 24, 2020
India	2020-06-28	1.316408068531862	0.44285981882427994	0.41051611864089504	94	Mar 27 - Jul 24, 2020
India	2020-06-29	1.2871908576383202	0.4330307019780917	0.41082122833159124	95	Mar 27 - Jul 24, 2020
India	2020-06-30	1.2378048768682668	0.41641650230923283	0.4111794399182979	96	Mar 27 - Jul 24, 2020
India	2020-07-01	1.2068805793404072	0.4060130953962611	0.41159070372291373	97	Mar 27 - Jul 24, 2020
India	2020-07-02	1.1891101817853122	0.40003486172403696	0.4120549700673376	98	Mar 27 - Jul 24, 2020
India	2020-07-03	1.190978060660132	0.40066324476107723	0.4125721892734684	99	Mar 27 - Jul 24, 2020
India	2020-07-04	1.2241670059041054	0.4118285138209267	0.4131423116632047	100	Mar 27 - Jul 24, 2020
India	2020-07-05	1.2549742955022658	0.42219255747581275	0.41376528755844544	101	Mar 27 - Jul 24, 2020
India	2020-07-06	1.2517431300637405	0.4211055439768052	0.4144410672810894	102	Mar 27 - Jul 24, 2020
India	2020-07-07	1.224699626245346	0.4120076954542382	0.41516960115303553	103	Mar 27 - Jul 24, 2020
India	2020-07-08	1.2145006790697712	0.40857661355315966	0.4159508394961825	104	Mar 27 - Jul 24, 2020
India	2020-07-09	1.1950339502124383	0.40202770807244914	0.4167847326324291	105	Mar 27 - Jul 24, 2020
India	2020-07-10	1.1972145522104831	0.4027612959536439	0.417671596838243	106	Mar 27 - Jul 24, 2020
India	2020-07-11	1.2136534967277253	0.4082916084491359	0.4186117755067139	107	Mar 27 - Jul 24, 2020
India	2020-07-12	1.234950804351644	0.41545634863968517	0.4196052596346735	108	Mar 27 - Jul 24, 2020
India	2020-07-13	1.2231135997344715	0.4114741318655254	0.4206520402189538	109	Mar 27 - Jul 24, 2020
India	2020-07-14	1.222156291943258	0.4111520788751873	0.4217521082563864	110	Mar 27 - Jul 24, 2020
India	2020-07-15	1.2262210239573943	0.4125195169260321	0.4229054547438035	111	Mar 27 - Jul 24, 2020
India	2020-07-16	1.2521386874959066	0.42123861555007436	0.4241120706780365	112	Mar 27 - Jul 24, 2020
India	2020-07-17	1.25885879841418	0.42349936369868196	0.4253719470559175	113	Mar 27 - Jul 24, 2020
India	2020-07-18	1.2883229431367216	0.4334115528636949	0.42668507487427837	114	Mar 27 - Jul 24, 2020
India	2020-07-19	1.3202135946677394	0.44414005605113416	0.4280514451299508	115	Mar 27 - Jul 24, 2020
India	2020-07-20	1.3014446666435695	0.4378259014489219	0.4294710488197667	116	Mar 27 - Jul 24, 2020
India	2020-07-21	1.275741836509506	0.4291790760696629	0.43094387694055786	117	Mar 27 - Jul 24, 2020
India	2020-07-22	1.296809424257987	0.4362665349787854	0.4324699204891562	118	Mar 27 - Jul 24, 2020
India	2020-07-23	1.3174981555368148	0.44322654077399765	0.43404917046239333	119	Mar 27 - Jul 24, 2020
Maharashtra	2021-04-14	1.1243373316815497	0.904898761319183	0.8884028180972229	1	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-15	1.1218411395997512	0.9028897547166397	0.8830527803382072	2	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-16	1.1013611169004154	0.8864068481634072	0.8777693649944515	3	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-17	1.138172079857305	0.9160333613494785	0.8725571902388571	4	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-18	1.1498185221947377	0.9254067504098207	0.867420874244326	5	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-19	1.1290134756794976	0.9086622554167816	0.8623650351837596	6	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-20	1.1089773339959956	0.8925365969687956	0.8573942912300593	7	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-21	1.101939768658167	0.8868725636066909	0.8525132605561272	8	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-22	1.0839218049829482	0.8723711923973807	0.8477265613348646	9	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-23	1.0623016543363302	0.8549706783448953	0.843038811739173	10	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-24	1.075918964130795	0.8659302777625199	0.8384546299419544	11	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-25	1.0776858133118594	0.8673522883907643	0.83397863411611	12	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-26	1.0064643844614165	0.8100312505401754	0.8296154424345418	13	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-27	0.9951180332625512	0.8008993833896025	0.825369673070151	14	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-28	0.9796504118533866	0.7884506003960023	0.8212459441958395	15	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-29	0.9753697461889358	0.7850053985440013	0.8172355716810689	16	Apr 14 - Aug 11, 2021
Maharashtra	2021-04-30	0.9662186617638284	0.7776403447228121	0.8133251440947258	17	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-01	1.0147324053477351	0.8166855896319863	0.8095121886588492	18	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-02	0.9868590015877348	0.7942522790716663	0.8057942325954783	19	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-03	0.9410963528558902	0.7574211937867922	0.8021688031266521	20	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-04	0.897969849424015	0.7227117534472406	0.7986334274744096	21	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-05	0.8871284522933032	0.7139862877368045	0.7951856328607898	22	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-06	0.893817562335333	0.719369874335595	0.791822946507832	23	Apr 14 - Aug 11, 2021
Maharashtra	2021-05-07	0.8979303733696772	0.7226799819924774	0.7885428956375754	24	Apr 14 - Aug 11, 2021
